,zcr_mean,sc_mean,mfcc_mean1,mfcc_mean2,mfcc_mean3,mfcc_mean4,mfcc_mean5,mfcc_mean6,mfcc_mean7,mfcc_mean8,mfcc_mean9,mfcc_mean10,mfcc_mean11,mfcc_mean12,mfcc_mean13,mfcc_mean14,mfcc_mean15,mfcc_mean16,mfcc_mean17,mfcc_mean18,mfcc_mean19,mfcc_mean20,zcr_vcr,sc_var,mfcc_var1,mfcc_var2,mfcc_var3,mfcc_var4,mfcc_var5,mfcc_var6,mfcc_var7,mfcc_var8,mfcc_var9,mfcc_var10,mfcc_var11,mfcc_var12,mfcc_var13,mfcc_var14,mfcc_var15,mfcc_var16,mfcc_var17,mfcc_var18,mfcc_var19,mfcc_var20,label
10,-0.368836557,-0.060085357,0.452863405,-0.059089052,-0.645364357,0.170835319,0.289432112,-0.37464756,-0.380601472,-0.38817358,-0.776445817,-0.026268101,-0.363241788,-0.339451534,-0.134484694,-0.447531775,0.607050592,0.670884966,0.72519115,0.880049274,0.663816624,-0.01968562,-0.855042629,-0.909031284,-0.767857723,-0.888166954,-0.557350084,-0.749532433,-0.925948191,-0.419782471,-0.838610076,-0.705922336,-0.579287872,-0.800940162,-0.622402277,-0.765819159,-0.736018203,-0.591890811,-0.643139114,-0.590463497,-0.719187766,-0.543284353,-0.492808586,-0.637556418,music
11,-0.800373332,-0.494957573,0.033731449,0.227714381,-0.052397587,0.021140948,0.097193034,0.142169622,-0.141336404,-0.029714855,-0.162555073,-0.067765179,0.011567237,-0.554666309,-0.274554064,-0.691179838,-0.184214223,-0.330769581,-0.020657683,-0.032260755,0.156087366,-0.311995133,-0.914377397,-0.798886607,-0.109706374,-0.737766073,0.108746647,-0.759218765,-0.804095811,-0.798342017,-0.702013648,-0.85481465,-0.730018962,-0.849455421,-0.762521352,-0.810409365,-0.669047259,-0.85207336,-0.725292989,-0.818486245,-0.849390575,-0.84396193,-0.760904949,-0.75396056,music
12,-0.247346734,0.041033877,0.7743842,-0.146138102,-0.578728602,0.056519286,0.776823628,0.605711658,-0.133688191,0.521552694,0.017494976,0.219356223,0.301182498,-0.497293501,-0.13212419,-0.731979575,-0.167813783,-0.596793746,0.043759776,-0.075255447,0.079638481,-0.167069979,-0.950935724,-0.820851916,-0.904537671,-0.827437939,-0.638358625,-0.842562875,-0.803679617,-0.811465082,-0.761200623,-0.804183833,-0.847651537,-0.798090894,-0.797124096,-0.847056949,-0.739782943,-0.820131091,-0.713516197,-0.825922232,-0.740930403,-0.665235289,-0.710239921,-0.748974316,music
13,-0.662372941,-0.230644119,0.05153242,-0.020778899,-0.099956787,0.084973035,0.063170907,0.264525459,0.065970951,0.323688194,0.016993732,0.322771742,0.193855813,-0.400522894,-0.334373011,-0.77145667,-0.315877529,0.041896161,-0.02278569,-0.143320008,0.323665405,-0.053016055,-0.795747709,-0.583650077,-0.190584399,-0.719460452,-0.277678502,-0.623248912,-0.687393459,-0.740547774,-0.746277087,-0.640576064,-0.64954245,-0.72671454,-0.619153707,-0.670040267,-0.447999704,-0.481685984,-0.549705821,-0.812158976,-0.779362118,-0.631835396,-0.715101853,-0.7069185,music
14,-0.484703984,-0.041937176,1,-0.035120993,-0.185666617,0.152389131,0.155560404,0.557245312,-0.278353858,0.18404619,-0.196434043,0.110146821,0.165575558,-0.395350904,-0.281327134,-0.63224563,0.015275044,0.019755879,0.29441672,0.266395869,0.289043945,-0.004880506,-0.6325175,-0.467586221,-0.457005758,-0.407541601,-0.432584478,-0.689253943,-0.652243718,-0.632955686,-0.210851412,-0.50569631,-0.564321905,-0.508321188,-0.49050692,-0.364787526,-0.339729614,-0.240679475,-0.300122499,-0.087634583,-0.124335836,-0.134387551,-0.24800797,-0.262648934,music
15,-0.752471898,0.152343569,-0.358872851,-0.407096333,0.097560276,0.155025085,0.893795456,0.318861775,-0.189331234,0.022249326,-0.045176048,0.057222713,-0.148585702,-0.504211358,0.155844983,-0.414516074,-1,-0.330073639,-0.305664306,-0.020116012,0.490850322,-0.705008426,-0.867582194,-0.749023545,-0.559685779,-0.678685403,0.193055276,-0.837282862,-0.880123236,-0.619849935,-0.454113146,-0.711335169,-0.477183217,-0.019789993,0.306185546,-0.086881093,0.709083017,0.37919056,0.606922071,0.033582601,0.198377411,0.146219217,-0.041803439,-0.448303601,music
16,-0.722505482,-0.579640791,0.226685677,0.384230328,-0.442034874,0.842830271,1,0.395416288,0.217436703,-0.606703117,-0.236325411,-0.399785705,-0.064880392,-0.267852528,-0.151963845,-0.635242164,-0.350082329,-0.48380838,-0.058973505,-0.36561225,0.185656856,-0.251374914,-0.892701705,-0.887340232,-0.495565428,-0.823984839,0.243556866,-0.313584217,-0.445543283,-0.822144907,-0.603343984,-0.438206516,-0.713015181,-0.733901191,-0.600189728,-0.527988243,-0.67279551,-0.563958003,-0.531871399,-0.620263247,-0.641545463,-0.542865606,-0.609578464,-0.476813864,music
17,-0.392703723,0.052783948,0.853861357,-0.182450494,-0.279565303,0.701328222,0.615350915,0.438080654,0.150689111,0.521506064,-0.164681798,0.181252026,0.429133151,-0.467457542,-0.360810099,-0.708164514,-0.608509746,-0.410329312,-0.196865363,-0.138179299,0.087304203,0.063653204,-0.849697075,-0.643797876,-0.619601644,-0.597355896,-0.634707141,-0.614503945,-0.630893719,-0.717815662,-0.460451407,-0.598050734,-0.730765454,-0.577019751,-0.569549626,-0.644772306,-0.564296169,-0.609399805,-0.637139673,-0.557301015,-0.649667128,-0.553153697,-0.454076357,-0.32339172,music
18,-0.481759307,0.029820916,0.987496981,-0.11328067,-0.083031079,-0.005305495,0.62017406,0.397983244,-0.438284844,0.465592749,0.008484082,0.583420773,-0.123808813,-0.595397254,-0.17366034,-0.812125011,-0.546397133,-0.583351927,-0.607062178,-0.637810273,-0.07332819,-0.197512162,-0.93558868,-0.735851081,-0.676112975,-0.795280845,-0.847463069,-0.873017261,-0.789798003,-0.875853211,-0.792462508,-0.831789623,-0.827522626,-0.793849336,-0.799767036,-0.831383773,-0.747083775,-0.777442349,-0.677823149,-0.84438422,-0.832474772,-0.715904291,-0.765663689,-0.426697686,music
19,-0.825184017,-0.505129796,-0.061824828,0.168348808,-0.154397876,-0.255467725,0.361273269,0.168869886,-0.284865945,-0.258905546,-0.474610189,-0.404476247,-0.060233784,-0.637365533,-0.2371386,-0.526969498,-0.098921527,-0.261505395,0.209468378,0.083011987,0.22291569,0.20982532,-0.944802537,-0.856466589,0.188337066,-0.469867741,0.042783247,-0.754718375,-0.728802132,-0.811581182,-0.323291575,-0.703769782,-0.702692363,-0.787538249,-0.678951839,-0.703782771,-0.509061232,-0.406002761,-0.169595044,0.038929719,-0.236969767,0.053348569,0.162062411,0.496414046,music
20,-0.583669577,-0.299650787,0.562239308,0.188641021,-0.587972555,0.213404773,0.072880205,-0.444630223,-0.248046561,-0.380964605,-0.69102068,0.342105655,-0.542228195,-0.456224101,0.048139234,-0.403439783,0.706589962,0.904086223,0.681503665,0.816501724,0.713403433,0.496169781,-0.953683326,-0.978633008,-0.916876992,-0.975639997,-0.863417008,-0.931316607,-0.77114148,-0.794348566,-0.671215624,-0.831253244,-0.861849559,-0.696560096,-0.690744214,-0.753511738,-0.732063807,-0.582795593,-0.758135446,-0.794551611,-0.661467994,0.128276967,-0.076598171,-0.534745101,music
21,-0.515247108,-0.314405897,0.44456577,0.079545979,-0.53739208,0.468758502,0.514925141,-0.071692567,-0.062792717,0.400525869,-0.04861651,0.699760407,0.29646939,0.110082519,0.067115172,-0.266710058,0.721234241,0.700966728,0.733363903,0.762911815,0.527118215,0.148502724,-0.710765609,-0.889308632,-0.733164225,-0.866685196,-0.402844981,-0.819481162,-0.789473034,-0.251819867,-0.527865031,-0.422349601,-0.581207124,-0.510533381,-0.489388213,-0.537939956,-0.423924041,-0.444349484,-0.430926145,-0.477471055,-0.510247657,-0.505246368,-0.455524065,-0.171520844,music
22,-0.733703405,-0.37062929,0.357282526,0.178161297,0.057398909,0.130897961,0.299987484,0.253879161,0.105864326,0.215287369,0.024073568,0.158939628,0.027736463,-0.306153664,-0.273821422,-0.804345476,-0.381637028,0.214141384,0.68804434,0.736414777,0.416387793,-0.004864569,-0.92755821,-0.761216778,-0.588823409,-0.642341444,-0.463330685,-0.907711569,-0.836009964,-0.590297415,-0.737115261,-0.813654207,-0.858834483,-0.475447924,0.122264052,-0.282965595,-0.390468103,-0.293333757,0.01120548,0.008721056,0.019806319,-0.08430597,0.081652961,0.590040258,music
23,-0.532523904,0.014207776,0.449214694,-0.16505064,-0.095927221,0.461324613,0.051160741,0.327387158,0.272806422,0.430259341,-0.255549694,0.814785064,0.605158056,-0.363994185,-0.165232066,-0.540071003,-0.163825677,-0.113081754,-0.078987589,-0.083176806,0.239956755,-0.028333218,-0.871793544,-0.829404144,-0.869338047,-0.829818276,-0.67532012,-0.852467823,-0.900614576,-0.850295015,-0.641797973,-0.754002383,-0.81982894,-0.730738109,-0.624275165,-0.628979195,-0.565443674,-0.563480035,-0.655736649,-0.68848703,-0.627477444,-0.559420642,-0.427001005,-0.351300467,music
